tidy_tweet,sentiment_textblob,sentiment_vader
look picture public meeting morigaon assam,neutral,100.0% neutral
fine example arrogance delusion see entire humankind full hate except cours,neg,42.0% negative
shri address public meeting morigaon assam modilaodeshbanao,neutral,100.0% neutral
addressed public meeting thoubal manipur,neutral,100.0% neutral
modi government gave r crore development road arunachal pradesh,neutral,100.0% neutral
narendra modi government connected north eastern state railway unprecedented,pos,100.0% neutral
took decade pm attend nec meeting north east morarji desai last pm attended nec,neutral,100.0% neutral
five year ago corruption amp political instability stalled north east development pm narendra modi govt,neutral,11.4% negative
live shri address public meeting thoubal manipur modilaodeshbanao,pos,100.0% neutral
thank people arunachal pradesh massive support bjp picture public meeting changlang,neutral,36.6% positive
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
sympathy,neutral,100.0% positive
shri address public meeting changlang arunachal pradesh modilaodeshbanao,neutral,100.0% neutral
bjp national president shri address public meeting arunachal pradesh manipur assam th april,neutral,100.0% neutral
roadshow visakhapatnam andhra pradesh,neutral,100.0% neutral
addressed public meeting narasaraopet guntur people andhra pradesh decide whether want e,neutral,11.5% positive
live shri address public meeting guntur andhra pradesh,pos,100.0% neutral
congratulate pm conferred uae highest civilian honour zayed medal recognitio,neutral,58.8% positive
schedule bjp national president shri public program telangana andhra pradesh watch th,neutral,100.0% neutral
prime minister popularity cut across age caste class sharing beautiful picture ra,pos,49.2% positive
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
deshkeliyemodi,neutral,100.0% neutral
,neutral,0.0% neutral
afspa,neutral,100.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
,neutral,0.0% neutral
deshkeliyemodi,neutral,100.0% neutral
,neutral,0.0% neutral
thank bengaluru warmth affection tremendous response people confirms,pos,64.0% positive
pictureoftheday youngest enthusiastic supporter bjp national president shri roadshow bengaluru http,pos,37.1% positive
picture public meeting coimbatore tamil nadu,neutral,100.0% neutral
bjp national president shri roadshow bengaluru karnataka bharatbolemodimodi,neutral,100.0% neutral
watch bjp national president shri roadshow south bengaluru live namo tv also tune,pos,100.0% neutral
congress promised amend code criminal procedure rahul gandhi saying everyone get bai,neg,21.4% negative
congress promised weaken afspa manifesto want ask congress president rahul gandhi wa,neutral,24.4% positive
rahul gandhi ally omar abdullah want separate prime minister kashmir want ask rahul gandhi,neutral,17.8% positive
uri pulwama attack indian force went deep inside pakistan killed terrorist amp destroyed base,neg,60.8% negative
dmk upa fielded scandalous candidate like raja kanimozhi karti chidambaram corrupt,neg,22.8% negative
want assure people tamil nadu behalf pm modi development state would continue,neutral,27.0% positive
wherever go country people want see narendra modi ji prime minister earlier allianc,neutral,9.8% positive
