tidy_tweet,sentiment_textblob,polarity,subjectivity
look picture public meeting morigaon assam,neutral,0.0,0.06666666666666667
fine example arrogance delusion see entire humankind full hate except cours,neg,-0.00833333333333336,0.64375
shri address public meeting morigaon assam modilaodeshbanao,neutral,0.0,0.06666666666666667
addressed public meeting thoubal manipur,neutral,0.0,0.06666666666666667
modi government gave r crore development road arunachal pradesh,neutral,0.0,0.0
narendra modi government connected north eastern state railway unprecedented,pos,0.6,0.9
took decade pm attend nec meeting north east morarji desai last pm attended nec,neutral,0.0,0.06666666666666667
five year ago corruption amp political instability stalled north east development pm narendra modi govt,neutral,0.0,0.1
live shri address public meeting thoubal manipur modilaodeshbanao,pos,0.06818181818181818,0.2833333333333333
thank people arunachal pradesh massive support bjp picture public meeting changlang,neutral,0.0,0.5333333333333333
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
sympathy,neutral,0.0,0.0
shri address public meeting changlang arunachal pradesh modilaodeshbanao,neutral,0.0,0.06666666666666667
bjp national president shri address public meeting arunachal pradesh manipur assam th april,neutral,0.0,0.06666666666666667
roadshow visakhapatnam andhra pradesh,neutral,0.0,0.0
addressed public meeting narasaraopet guntur people andhra pradesh decide whether want e,neutral,0.0,0.06666666666666667
live shri address public meeting guntur andhra pradesh,pos,0.06818181818181818,0.2833333333333333
congratulate pm conferred uae highest civilian honour zayed medal recognitio,neutral,0.0,0.0
schedule bjp national president shri public program telangana andhra pradesh watch th,neutral,0.0,0.06666666666666667
prime minister popularity cut across age caste class sharing beautiful picture ra,pos,0.85,1.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
deshkeliyemodi,neutral,0.0,0.0
,neutral,0.0,0.0
afspa,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
deshkeliyemodi,neutral,0.0,0.0
,neutral,0.0,0.0
thank bengaluru warmth affection tremendous response people confirms,pos,0.3333333333333333,1.0
pictureoftheday youngest enthusiastic supporter bjp national president shri roadshow bengaluru http,pos,0.6,0.9
picture public meeting coimbatore tamil nadu,neutral,0.0,0.06666666666666667
bjp national president shri roadshow bengaluru karnataka bharatbolemodimodi,neutral,0.0,0.0
watch bjp national president shri roadshow south bengaluru live namo tv also tune,pos,0.13636363636363635,0.5
congress promised amend code criminal procedure rahul gandhi saying everyone get bai,neg,-0.4,0.55
congress promised weaken afspa manifesto want ask congress president rahul gandhi wa,neutral,0.0,0.0
rahul gandhi ally omar abdullah want separate prime minister kashmir want ask rahul gandhi,neutral,0.0,0.0
uri pulwama attack indian force went deep inside pakistan killed terrorist amp destroyed base,neg,-0.3333333333333333,0.4666666666666666
dmk upa fielded scandalous candidate like raja kanimozhi karti chidambaram corrupt,neg,-0.5,1.0
want assure people tamil nadu behalf pm modi development state would continue,neutral,0.0,0.0
wherever go country people want see narendra modi ji prime minister earlier allianc,neutral,0.0,0.5
addressed public meeting sivaganga tamil nadu,neutral,0.0,0.06666666666666667
shri address public meeting sivaganga tamil nadu bharatbolemodimodi,neutral,0.0,0.06666666666666667
great enthusiasm among people tamil nadu public meeting thoothukudi applaud effort bjp aiad,pos,0.4,0.4083333333333333
live shri address public meeting thoothukudi tamil nadu,pos,0.06818181818181818,0.2833333333333333
schedule bjp national president shri public program tamil nadu karnataka nd april watch liv,neutral,0.0,0.06666666666666667
,neutral,0.0,0.0
,neutral,0.0,0.0
