tidy_tweet,sentiment_vader,vader_result
look picture public meeting morigaon assam,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
fine example arrogance delusion see entire humankind full hate except cours,42.0% negative,"{'neg': 0.42, 'neu': 0.473, 'pos': 0.107, 'compound': -0.743}"
shri address public meeting morigaon assam modilaodeshbanao,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
addressed public meeting thoubal manipur,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
modi government gave r crore development road arunachal pradesh,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
narendra modi government connected north eastern state railway unprecedented,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
took decade pm attend nec meeting north east morarji desai last pm attended nec,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
five year ago corruption amp political instability stalled north east development pm narendra modi govt,11.4% negative,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2023}"
live shri address public meeting thoubal manipur modilaodeshbanao,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
thank people arunachal pradesh massive support bjp picture public meeting changlang,36.6% positive,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.6369}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
sympathy,100.0% positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}"
shri address public meeting changlang arunachal pradesh modilaodeshbanao,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bjp national president shri address public meeting arunachal pradesh manipur assam th april,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
roadshow visakhapatnam andhra pradesh,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
addressed public meeting narasaraopet guntur people andhra pradesh decide whether want e,11.5% positive,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.0772}"
live shri address public meeting guntur andhra pradesh,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
congratulate pm conferred uae highest civilian honour zayed medal recognitio,58.8% positive,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.875}"
schedule bjp national president shri public program telangana andhra pradesh watch th,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
prime minister popularity cut across age caste class sharing beautiful picture ra,49.2% positive,"{'neg': 0.106, 'neu': 0.402, 'pos': 0.492, 'compound': 0.8271}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
deshkeliyemodi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
afspa,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
deshkeliyemodi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank bengaluru warmth affection tremendous response people confirms,64.0% positive,"{'neg': 0.0, 'neu': 0.36, 'pos': 0.64, 'compound': 0.836}"
pictureoftheday youngest enthusiastic supporter bjp national president shri roadshow bengaluru http,37.1% positive,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6486}"
picture public meeting coimbatore tamil nadu,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bjp national president shri roadshow bengaluru karnataka bharatbolemodimodi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
watch bjp national president shri roadshow south bengaluru live namo tv also tune,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
congress promised amend code criminal procedure rahul gandhi saying everyone get bai,21.4% negative,"{'neg': 0.214, 'neu': 0.629, 'pos': 0.157, 'compound': -0.2263}"
congress promised weaken afspa manifesto want ask congress president rahul gandhi wa,24.4% positive,"{'neg': 0.179, 'neu': 0.577, 'pos': 0.244, 'compound': -0.0}"
rahul gandhi ally omar abdullah want separate prime minister kashmir want ask rahul gandhi,17.8% positive,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.1531}"
uri pulwama attack indian force went deep inside pakistan killed terrorist amp destroyed base,60.8% negative,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.9477}"
dmk upa fielded scandalous candidate like raja kanimozhi karti chidambaram corrupt,22.8% negative,"{'neg': 0.228, 'neu': 0.604, 'pos': 0.168, 'compound': -0.2263}"
want assure people tamil nadu behalf pm modi development state would continue,27.0% positive,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.4019}"
wherever go country people want see narendra modi ji prime minister earlier allianc,9.8% positive,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}"
addressed public meeting sivaganga tamil nadu,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
shri address public meeting sivaganga tamil nadu bharatbolemodimodi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
great enthusiasm among people tamil nadu public meeting thoothukudi applaud effort bjp aiad,50.0% positive,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.875}"
live shri address public meeting thoothukudi tamil nadu,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
schedule bjp national president shri public program tamil nadu karnataka nd april watch liv,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
watch bjp national president shri ka dna conclave amitshahonzee,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
mainbhichowkidar,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
watch bjp president pm amitshahonzee,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
watch repeat telecast bjp national president shri interview channel news network http,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
addressed huge gathering public meeting nabarangpur lok sabha constituency odisha,20.4% positive,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}"
people odisha faith pm modi politics development picture public meeting gajapati berh,20.3% positive,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}"
development odisha pm modi top priority th finance commission upa government gave r,14.099999999999998% positive,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}"
bjd government become synonymous corruption corruption amp commission culture normal tha,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
want ask naveen babu youth odisha migrate state livelihood assure peopl,40.699999999999996% positive,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.5423}"
naveen babu ruling past two decade cannot even speak odia without paper appeal people odish,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
live shri addressing public meeting nabarangpur odisha,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
proudly announce shri thushar vellappally president bharat dharma jana sena nda candidate wayanad,23.1% positive,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5574}"
live shri address public meeting gajapati odisha,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
bjp national president shri address public meeting odisha rally berhampur lok sabha time,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
mainbhichowkidar,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
live bjp national president shri news agendaindia,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
chowkidars committed strong amp prosperous india watch mainbhichowkidar programme,58.599999999999994% positive,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.8176}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
watch bjp national president shri news agendaindia today pm watch live,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
phirekbaarmodisarkaar,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
live shri address public meeting dhampur uttar pradesh,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
sure community vibrant professional especially youngster enliven mainbhichowkidar programme,44.9% positive,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}"
day looking forward pm lakh chowkidars different part india interac,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
lakh chowkidars every part india join mainbhichowkidar programme nearest,21.6% positive,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
phirekbaarmodisarkar,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
road show gandhinagar loksabha,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
nda,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
tmc government nothing example appeasement vote bank politics crore rupee,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
vote bank politics mamata didi forcefully making urdu language compulsory every school name ben,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
earlier used hear sound rabindra sangeet west bengal hear sound bomb expl,22.5% negative,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4939}"
